Item Code,Item Name,Patient-Friendly Description,Fee
011,Comprehensive Oral Examination,"We’ll do a thorough check of your teeth, gums, and mouth to understand your overall oral health and identify any concerns early.",84.00
012,Periodic Oral Examination,A routine dental check-up to monitor your oral health and catch any issues before they become bigger problems.,76.00
013,Oral Examination Limited,A short dental exam focused on a specific issue or tooth that's bothering you.,70.00
014,Consultation,"We’ll sit down with you to discuss your dental concerns and smile goals, and explain the treatment options best suited for you.",84.00
015,Consultation - Extended (30Mins Or More),"A longer consultation for more detailed discussions, perfect for complex treatments or second opinions.",120.00
018,Written Report (Not Elsewhere Completed),"A formal written report about your dental condition, often needed for referrals, insurance, or records.",147.00
022,Intraoral Periapical Or Bitewing Radiograph - per exposure,A small X-ray to look closely at a specific tooth or area to check for problems like decay or infection.,48.00
037,Panormanic Radiograph - per exposure,"A full-mouth X-ray that lets us see your entire jaw and all teeth in one image – useful for wisdom teeth, implants, or overall checks.",133.00
047,Saliva Screening Test,A quick test of your saliva to assess your risk of tooth decay or gum disease and help us plan your care.,72.00
061,Pulp Testing - per appointment,We’ll test the nerve of a tooth to see if it's alive or damaged – helpful for diagnosing pain or trauma.,45.00
071,Diagnostic Model - per model,We’ll take impressions of your teeth to make a model. This helps us plan your treatment and show you what your future smile might look like.,81.00
072,Photographic Records - Intraoral - per appointment,We’ll take close-up photos inside your mouth to track your progress and treatment results.,45.00
073,Photographic Records - Extraoral - per appointment,We’ll take photos of your smile and face to ensure everything stays balanced and looks natural.,53.00
074,Diagnostic wax-up,We’ll create a mock-up of your expected results so you can preview your new smile before we begin.,115.00
075,Diagnostic Modelling,"We’ll scan your teeth digitally to create a precise 3D model. It’s quick, clean, and helps us plan accurately.",84.00
111,Removal Of Plaque and/or Stain,We’ll clean off surface stains and plaque to freshen up your smile and help keep your teeth healthy.,95.00
113,Recontouring & Polishing of Pre-Existing Restoration(S),"We’ll polish or reshape your current fillings to make them smoother, more comfortable, and look better.",69.00
114,Removal Of Calculus - first appointment,We’ll remove tartar and hard build-up from your teeth to reduce inflammation and improve gum health.,127.00
115,Removal of calculus - subsequent appointment,A follow-up cleaning to remove remaining tartar and maintain your gum health.,145.00
116,Enamel micro-abrasion - per tooth,We’ll gently smooth out surface stains or white spots on your teeth for a more even appearance.,52.00
117,"Bleaching, Internal - per tooth",We’ll whiten the inside of a darkened tooth that’s had root canal treatment to match your other teeth.,352.00
118,"Bleaching, External - per tooth",We’ll safely whiten your teeth to brighten your smile and boost your confidence.,55.00
119,"Bleaching, Home Application - per arch","We’ll give you custom-made trays and gel so you can whiten your teeth at home, gradually and comfortably.",197.50
121,Topical Application Of Remineralisation &/or Cariostatic,We’ll apply fluoride or a similar agent to your teeth to help prevent cavities and strengthen enamel.,38.00
122,"Topical Remineralisation &/or Cariostatic Agents, Home",We’ll recommend special at-home products to help protect and remineralize your teeth between visits.,53.00
123,"Concentrated Remineralsation &/or Cariostatic Agents,",We’ll apply a highly concentrated treatment to strengthen your teeth and reduce the risk of cavities.,26.00
131,Dietary Analysis & Advice,We’ll apply a highly concentrated treatment to strengthen your teeth and reduce the risk of cavities.,53.00
141,Oral Hygiene Instruction,We’ll teach you the best way to brush and floss so you can keep your mouth as healthy as possible between visits.,55.00
142,Tobacco Counselling,"We’ll help you understand how tobacco affects your oral health and support you in quitting, if needed",55.00
151,Provision of Mouthguard - Indirect T,We’ll make a custom-fit mouthguard to protect your teeth during sports or while you sleep,260.00
161,Fissure and/or tooth surface Sealing - Per Tooth,"We’ll seal the grooves of your back teeth to protect them from cavities, especially helpful for kids or cavity-prone patients",62.00
165,Desensitising Procedure - Per Appointment,We’ll apply a special treatment to help reduce sensitivity and make eating or drinking more comfortable.,42.00
171,Odontoplasty - Per Tooth,We’ll gently reshape a tooth to improve its look or help with your bite.,80.00
213,Treatment of Acute Periodontal Infection - per appointment,We’ll treat gum infections quickly to relieve pain and prevent further damage to your gums or teeth.,141.00
221,Clinical Periodontal Analysis & Recording,We’ll do a detailed exam of your gums to check for signs of gum disease and plan the right care.,70.00
