"Category: DIAGNOSTIC
Subcategory: Examinations",,,,,,,
Item,Description,Fee,GST (%),Mode,Surcharge %,,
,,,,,Sat,Sun,PHol
011,Comprehensive Oral Examination,84.00,0.00,Variable,0.00,0.00,0.00
012,Periodic Oral Examination,76.00,0.00,Variable,0.00,0.00,0.00
013,Oral Examination Limited,70.00,0.00,Variable,0.00,0.00,0.00
014,Consultation,84.00,0.00,Variable,0.00,0.00,0.00
015,Consultation - Extended (30Mins Or More),120.00,0.00,Variable,0.00,0.00,0.00
018,Written Report (Not Elsewhere Completed),147.00,10.00,Variable,0.00,0.00,0.00
Subcategory: Radiological,,,,,,,
Item,Description,Fee,GST (%),Mode,Surcharge %,,
,,,,,Sat,Sun,PHol
022,Intraoral Periapical Or Bitewing Radiograph - per exposu,48.00,0.00,Variable,0.00,0.00,0.00
037,Panormanic Radiograph - per exposure,133.00,0.00,Variable,0.00,0.00,0.00
Subcategory: Other,,,,,,,
Item,Description,Fee,GST (%),Mode,Surcharge %,,
,,,,,Sat,Sun,PHol
047,Saliva Screening Test,72.00,0.00,Variable,0.00,0.00,0.00
061,Pulp Testing - per appointment,45.00,0.00,Variable,0.00,0.00,0.00
071,Diagnostic Model - per model,81.00,0.00,Variable,0.00,0.00,0.00
072,Photographic Records - Intraoral - per appointment,45.00,0.00,Variable,0.00,0.00,0.00
073,Photographic Records - Extraoral - per appointment,53.00,0.00,Variable,0.00,0.00,0.00
074,Diagnostic wax-up,115.00,0.00,Variable,0.00,0.00,0.00
075,Diagnostic Modelling,84.00,0.00,Variable,0.00,0.00,0.00
Category: PREVENTATIVE Subcategory: Dental Prophylaxis,,,,,,,
Item,Description,Fee,GST (%),Mode,Surcharge %,,
,,,,,Sat,Sun,PHol
111,Removal Of Plaque and/or Stain,95.00,0.00,Variable,0.00,0.00,0.00
113,Recontouring & Polishing of Pre-Existing Restoration(S),69.00,0.00,Variable,0.00,0.00,0.00
114,Removal Of Calculus - first appointment,127.00,0.00,Variable,0.00,0.00,0.00
115,Removal of calculus - subsequent appointment,145.00,0.00,Variable,0.00,0.00,0.00
116,Enamel micro-abrasion - per tooth,52.00,0.00,Variable,0.00,0.00,0.00
117,"Bleaching, Internal - per tooth",352.00,0.00,Variable,0.00,0.00,0.00
118,"Bleaching, External - per tooth",55.00,0.00,Variable,0.00,0.00,0.00
119,"Bleaching, Home Application - per arch",197.50,0.00,Variable,0.00,0.00,0.00
Subcategory: Topical Fluoride,,,,,,,
Item,Description,Fee,GST (%),Mode,Surcharge %,,
,,,,,Sat,Sun,PHol
121,Topical Application Of Remineralisation &/or Cariostatic,38.00,0.00,Variable,0.00,0.00,0.00
122,"Topical Remineralisation &/or Cariostatic Agents, Home",53.00,0.00,Variable,0.00,0.00,0.00
Subcategory: Other,,,,,,,
Item,Description,Fee,GST (%),Mode,Surcharge %,,
,,,,,Sat,Sun,PHol
123,"Concentrated Remineralsation &/or Cariostatic Agents,",26.00,0.00,Variable,0.00,0.00,0.00
131,Dietary Analysis & Advice,53.00,0.00,Variable,0.00,0.00,0.00
141,Oral Hygiene Instruction,55.00,0.00,Variable,0.00,0.00,0.00
142,Tobacco Counselling,55.00,0.00,Variable,0.00,0.00,0.00
151,Provision of Mouthguard - Indirect T,260.00,10.00,Variable,0.00,0.00,0.00
161,Fissure and/or tooth surface Sealing - Per Tooth,62.00,0.00,Variable,0.00,0.00,0.00
165,Desensitising Procedure - Per Appointment,42.00,0.00,Variable,0.00,0.00,0.00
171,Odontoplasty - Per Tooth,80.00,0.00,Variable,0.00,0.00,0.00
"Category: PERIODONTICS
Subcategory: Perio",,,,,,,
Item,Description,Fee,GST (%),Mode,Surcharge %,,
,,,,,Sat,Sun,PHol
213,Treatment of Acute Periodontal Infection - per appointme,141.00,0.00,Variable,0.00,0.00,0.00
221,Clinical Periodontal Analysis & Recording,70.00,0.00,Variable,0.00,0.00,0.00
222,Periodontal Debridement - per tooth,48.00,0.00,Variable,0.00,0.00,0.00
223,Non-Surgical Treatment Of Peri-Implant Disease - per im,194.00,0.00,Variable,0.00,0.00,0.00
232,Periodontal Flap Surgery - per tooth,345.00,0.00,Variable,0.00,0.00,0.00
250,Active Non-Surgical Periodontal Therapy - per quadrant,260.00,0.00,Variable,0.00,0.00,0.00
251,Supportive Periodontal Therapy - per appointment,232.00,0.00,Variable,0.00,0.00,0.00
Category: ORAL SURGERY Subcategory: Extractions,,,,,,,
Item,Description,Fee,GST (%),Mode,Surcharge %,,
,,,,,Sat,Sun,PHol
311,Removal Of Tooth Or Part(s) Thereof,225.00,0.00,Variable,0.00,0.00,0.00
314,Sectional Removal of a Tooth or part(s) thereof,290.00,0.00,Variable,0.00,0.00,0.00
Subcategory: Surgical Extractions,,,,,,,
Item,Description,Fee,GST (%),Mode,Surcharge %,,
,,,,,Sat,Sun,PHol
322,Surgical removal of a tooth or fragment not requiring rem,322.00,0.00,Variable,0.00,0.00,0.00
324,Surgical removal of a tooth or fragment requiring both re,440.00,0.00,Variable,0.00,0.00,0.00
Subcategory: Surgery for Prostheses,,,,,,,
Item,Description,Fee,GST (%),Mode,Surcharge %,,
,,,,,Sat,Sun,PHol
332,Osteotomy - per jaw,365.00,0.00,Variable,0.00,0.00,0.00
Subcategory: General Surgical,,,,,,,
Item,Description,Fee,GST (%),Mode,Surcharge %,,
,,,,,Sat,Sun,PHol
378,Surgical Removal Of Foreign Body,174.00,0.00,Variable,0.00,0.00,0.00
379,Marsupialisation Of Cyst,180.00,0.00,Variable,0.00,0.00,0.00
Subcategory: Other,,,,,,,
Item,Description,Fee,GST (%),Mode,Surcharge %,,
,,,,,Sat,Sun,PHol
381,Surgical Exposure Of Unerupted Tooth - per tooth,230.00,0.00,Variable,0.00,0.00,0.00
384,Repositioning of displaced tooth/teeth - per tooth,122.00,0.00,Variable,0.00,0.00,0.00
386,Splinting of displaced tooth/teeth - per tooth,243.00,0.00,Variable,0.00,0.00,0.00
391,Frenectomy,296.00,0.00,Variable,0.00,0.00,0.00
392,Drainage of abscess,130.00,0.00,Variable,0.00,0.00,0.00
Category: ENDODONTICS Subcategory: Pulp Treatment,,,,,,,
Item,Description,Fee,GST (%),Mode,Surcharge %,,
,,,,,Sat,Sun,PHol
411,Direct Pulp Capping,68.00,0.00,Variable,0.00,0.00,0.00
414,Pulpotomy,161.00,0.00,Variable,0.00,0.00,0.00
415,Complete chemo-mechanical preparation of root canal -,305.00,0.00,Variable,0.00,0.00,0.00
416,Complete chemo-mechanical preparation of root canal -,160.00,0.00,Variable,0.00,0.00,0.00
417,Root Canal Obturation  - one canal,303.00,0.00,Variable,0.00,0.00,0.00
418,Root Canal Obturation  - each additional canal,187.00,0.00,Variable,0.00,0.00,0.00
419,Extirpation of pulp or debridement of root canal(s) - emer,350.00,0.00,Variable,0.00,0.00,0.00
"Category: ENDODONTICS
Subcategory: Other",,,,,,,
Item,Description,Fee,GST (%),Mode,Surcharge %,,
,,,,,Sat,Sun,PHol
451,Removal Of Root Filling - per canal,175.00,0.00,Variable,0.00,0.00,0.00
452,Removal of a cemented root canal post or post crown,352.00,0.00,Variable,0.00,0.00,0.00
455,Additional visit for irrigation and/or dressing of the root c,188.00,0.00,Variable,0.00,0.00,0.00
"Category: RESTORATIVE Subcategory: GIC, Composite",,,,,,,
Item,Description,Fee,GST (%),Mode,Surcharge %,,
,,,,,Sat,Sun,PHol
521,Adhesive restoration - one surface - anterior tooth - direc,213.00,0.00,Variable,0.00,0.00,0.00
522,Adhesive restoration - two surfaces - anterior tooth - dire,230.00,0.00,Variable,0.00,0.00,0.00
523,Adhesive restoration - three surfaces - anterior tooth - dir,266.00,0.00,Variable,0.00,0.00,0.00
524,Adhesive restoration - four surfaces - anterior tooth - dire,320.00,0.00,Variable,0.00,0.00,0.00
525,Adhesive restoration - five surfaces - anterior tooth - dire,365.00,0.00,Variable,0.00,0.00,0.00
